Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
06/09/2024,DB,CANNING,,Fluctuating film weight,Lid jamming and clogging of linning compound from the nozzle.,"Cleaning of the 
linning compound nozzle",The line was stopped for the machine to be cleaned and affected lids isolated and destroyed,,,
06/09/2024,DB,CANNING,,Bad Seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
06/09/2024,DB,CANNING,,High seam thickness on Head 8 (1.06) of Bottom seamer.,Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
06/09/2024,NB,CANNING,,Low overlap on head 6,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
06/09/2024,NB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
06/09/2024,NB,CANNING,,Low seam thickness on head 2 ,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
06/09/2024,NB,CANNING,,Bad seaming,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,DB,CANNING,, Low overlap on Head 1 (0.93) of Bottom seamer.,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,DB,CANNING,,Low overlap on Head 2 and 3  (0.89 and 0.90) of Top seamer.,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,DB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,DB,CANNING,,Bad seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The engineer made necessary adjustment on the first operation roller.,,,
07/09/2024,DB,CANNING,, Uncured lacquer powder on cans as a result of jamming in the oven.,Unbalanced/misposition of oven belt.,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine,,,
07/09/2024,DB,PACKAGING,,Bad labeling of cans on line 1 & 2,Unbalanced machine setting,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine ,,,
07/09/2024,DB,FILLING/AUTOCLAVE,,Observed dents on the body of the cans close to the bottom seam,Not determined,troubleshooting was done by the engineers,Filling was paused for engineering intervention,,,
07/09/2024,NB,CANNING,,Low overlap on head 4,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,NB,CANNING,,Low overlap on head 6,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,NB,CANNING,,Low seam thickness on head 6 ,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
07/09/2024,NB,CANNING,,Bad seaming,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,NB,CANNING,,Mispositioned external lacquer,Lacquer dispenser positioning,The operator made necessary adjustment ,"The line was stopped, affected cans sorted for application",,,
07/09/2024,NB,CANNING,,Low film weight ,Compound blockage on liner gun,The gun was cleaned. The operator made necessary adjustment ,The line was stopped and operator was notified,,,
07/09/2024,NB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
07/09/2024,NB,FILLING/AUTOCLAVE,,"Low weight flunctuations on CFT nozzles 7, 16, 20, and 24",Issues with the filling nozzles,Adjustment was made on the nozzles by the operator and Engineer,The line was closely monitored and non complying cans were retrieved from the line.,,,
08/09/2024,NA,CANNING,,Low overlap on head 1&6,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
08/09/2024,NA,CANNING,,"High seam thickness on Head 2,3&4",Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
08/09/2024,NA,CANNING,,"High seam thickness on Head 2,3&4",Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
08/09/2024,NA,CANNING,,"Low overlap on head 2,3&4",Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
08/09/2024,NA,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
08/09/2024,NA,CANNING,, Uncured lacquer powder in cans,Fluctuation of the oven temperature,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine,,,
08/09/2024,NA,FILLING/AUTOCLAVE,,Thermal Shock during the first cycle of Autoclave 4,Product were subjected to high pressure from the autoclave,The engineer was duly informed for correction action,Samples were taken for QA analysis and the dented cans were sorted manually,,,
08/09/2024,NA,FILLING/AUTOCLAVE,,Jamming of cans ,Distorted can guard on the conveyor,The engineer was duly informed ,The line was closely monitored ,,,
09/09/2024,DA,CANNING,,Low seam thickness on head 2,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
09/09/2024,DA,CANNING,,Low overlap on Head 2 & 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,DA,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,DA,CANNING,,"Low seam thickness on head 1,2,5 & 6 of the top seamer",Tightness of the second operation roller,The engineer made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,DA,FILLING/AUTOCLAVE,,High ambient temperature across the factory causing flunctuations in filled weight ,Issues with the chiller,HVAC intercention was employed,Prompt escalation and stopped the line for rectification,,,
09/09/2024,NA,PACKAGING,,Damaging of cartons,Weak carton strength,The operator made careful selection of the good cartons for the product,Product from damaged cartons were transferred into good cartons,,,
09/09/2024,NA,CANNING,, Low overlap on Head 5 ,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,NA,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,NA,CANNING,,High seam thickness on Head 3,Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
09/09/2024,NA,CANNING,,Low overlap on Head 3 & 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
09/09/2024,NA,CANNING,,Lacquer powder not properly cured in cans,Fluctuation of the oven temperature,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine,,,
10/09/2024,DA,CANNING,,Low overlap on Head 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,DA,CANNING,,Low overlap on Head 2,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,DA,CANNING,,High seam thickness on Head 3,Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
10/09/2024,DA,CANNING,,Low seam thickness on head 2 & 5 of the top seamer,Tightness of the second operation roller,The engineer made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,DA,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,DA,CANNING,,Lacquer powder not properly cured in cans,Fluctuation of the oven temperature,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine,,,
10/09/2024,NA,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,NA,CANNING,,High seam thickness on Head 4,Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
10/09/2024,NA,CANNING,,Low overlap on Head 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,NA,CANNING,,Low overlap on Head 5,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
10/09/2024,NA,CANNING,,Lacquer powder not properly cured in cans,Fluctuation of the oven temperature,The operative made necessary adjustment on the machines,The line was stopped for the adjustment on the machine,,,
11/09/2024,DB,CANNING,,Low overlap on Head 2  (0.86) of Top seamer.,Short end hook length,The engineer made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,DB,CANNING,,Low seam thickness on head 2 (0.82) of Top seamer.,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
11/09/2024,DB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,DB,CANNING,,Bad seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The engineer made necessary adjustment on the first operation roller.,,,
11/09/2024,DB,CANNING,,Weak welding detected on can cylinders,Changes in the temperature of the calibration unit/ unsquared blanks,Adjustment on the squareness of the blanks and calibration unit temperature,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,DB,PACKAGING,,Bad label,unbalanced setting,Adjustment was made on the labelling machine 1,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,NB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,NB,CANNING,,Low seam thickness on head 1 & 2 of the top seamer,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
11/09/2024,NB,CANNING,,"Low seam thickness on head 2,6 & 8 of the Bottom seamer",Tightness of the second operation roller,The engineer made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,NB,CANNING,,Low overlap on Head 4,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,NB,CANNING,,Low overlap on Head 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
11/09/2024,NB,CANNING,,Bad seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The engineer made necessary adjustment on the first operation roller.,,,
11/09/2024,NB,CANNING,,Misaligned lacquer powder on weld margin,Positioning of lacquer blowing valve,The operator made necessary adjustment on powder arm,"The line was stopped  and affected cans 
retrieved ",,,
12/09/2024,DB,PACKAGING,,Bad labeling of cans on line 2,Unbalanced machine settings,The machine settings was adjusted. ,The packaging line was stopped for adjustment on the machine.,,,
12/09/2024,DB,CANNING,, Low overlap on Head 8 (0.86) of Bottom seamer.,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,DB,CANNING,, High seam thickness on Head 8 (1.06) of Bottom seamer.,Openness of the second operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
12/09/2024,DB,CANNING,,Spark welding detected on can cylinders.,Contamination on the weld margin/ unsquared weld,The operator adjusted the squareness of the body tinplate slitting ,The line was stopped to correct the unsquared weld while the affected cans were discarded,,,
12/09/2024,DB,CANNING,,Jamming leading to production of badly seamed cans.,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The engineer made necessary adjustment on the first operation roller.,,,
12/09/2024,DB,CANNING,,Failure of external lacquer on cans,Blockage of the dispensing nozzle,The operator clean the dispensing nozzle and blow it with air gun,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,DB,CANNING,,Low overlap on Head 4 (0.89) of Top seamer.,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,Low seam thickness on head 1 & 2 of the Bottom seamer,Tightness of the second operation roller,The engineer made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,Low overlap on Head 4,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,"Low overlap on Head 2, 3 and 6",Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,High enamel ratings on cans,Scratch on inner coatings of cans,Affected batch of tinplate was retrieved,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,CANNING,,External lacquer failure,Malfuntioning lacquer conveyor belt,The belt was changed,The line was stopped and the affected cans were retrieved from the line. ,,,
12/09/2024,NB,PACKAGING,,Bad labeling of cans on line 1 ,Unbalanced machine settings,The machine settings was adjusted. ,The packaging line was stopped for adjustment on the machine.,,,
13/09/2024,DB,CANNING,,Failure of external lacquer on cans,Blockage of the dispensing nozzle,The operator clean the dispensing nozzle and blow it with air gun,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,DB,CANNING,,High enamel ratings on cans,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,DB,CANNING,,Low overlap on Head 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,DB,CANNING,,Abrasion on can top,Jamming of cans on the seaming rolls.,Awaiting technical intervention when the line start running,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,DB,PACKAGING,,Abrasion on can top,Jamming of cans on the seaming rolls.,Awaiting technical intervention ,the afected cans from the Autoclave were sorted out ,,,
13/09/2024,DB,FILLING/AUTOCLAVE,,Abrasion on Top seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the seaming roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,NB,CANNING,,Low overlap on Head 5,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,NB,CANNING,,Low overlap on Head 6,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
13/09/2024,NB,CANNING,,High seam thickness on head 1 & 2,Openness of the operation roller,The operator made necessary adjustment on the seamer head,The line was stopped for the seamer head to be worked on and corrected,,,
13/09/2024,NB,CANNING,,Low seam thickness on head 2 ,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
14/09/2024,DA,CANNING,, High seam thickness on Head 8 (1.08) of Bottom seamer.,Openness between seam roll and chuk of second operation seam roll,The operator made adjustment on second operation seam roll and close the clearance,The line was stopped for the seamer head to be worked on and corrected,,,
14/09/2024,DA,CANNING,,Low overlap on Head 5(0.88),Openness between seam roll and chuk of first operation seam roll,The operator made adjustment on first operation seam roll and close the clearance,The line was stopped and the affected cans were retrieved from the line. ,,,
14/09/2024,DA,CANNING,,High enamel ratings on cans,Scratch on inner coatings of tinplate before can formation,Affected blanks were retrieved and crushed,The line was stopped and the affected cans were retrieved from the line and crushed.,,,
17/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
17/09/2024,DB,CANNING,,Low seam thickness on head 2 Bottom seamer,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
18/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
18/09/2024,DB,CANNING,,High enamel ratings on cans,Scratch on inner coatings of tinplate before can formation,Affected blanks were retrieved and crushed,The line was stopped and the affected cans were retrieved from the line and crushed.,,,
18/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
19/09/2024,DB,CANNING,,High enamel ratings on cans,Scratch on inner coatings of tinplate before can formation,Affected blanks were retrieved and crushed,The line was stopped and the affected cans were retrieved from the line and crushed.,,,
19/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
19/09/2024,DB,CANNING,,Failure of external lacquer on cans,Blockage of the dispensing nozzle,The operator clean the dispensing nozzle and blow it with air gun,The line was stopped and the affected cans were retrieved from the line. ,,,
20/09/2024,DA,CANNING,, High seam thickness on Head 3(1.07) of Bottom seamer.,Openness between seam roll and chuk of second operation seam roll,The operator made adjustment on second operation seam roll and close the clearance,The line was stopped for the seamer head to be worked on and corrected,,,
20/09/2024,DA,CANNING,, Low seam thickness on Head 2(0.91) of Bottom seamer.,Tightness of the second operation roller,The operator made adjustment on the second operation roller ,The line was stopped for the seamer head to be worked on and corrected,,,
21/09/2024,DA,CANNING,,Low overlap on Head 4(0.92),Openness between seam roll and chuk of first operation seam roll,The operator made adjustment on first operation seam roll and close the clearance,The line was stopped and the affected cans were retrieved from the line. ,,,
23/09/2024,DB,CANNING,,High enamel rate due to misalignment of  lacquer powder application in cans.,Misaligned lacquer powder arm,Operator  repositioned the powder arm on the Cevolani machine.,The line was stopped and the affected cans were retrieved from the line. ,,,
23/09/2024,DB,CANNING,,High enamel ratings on cans due to scratches on cylinders/cans,Scratch on inner coatings of tinplate before can formation,Affected blanks were retrieved and crushed,The line was stopped and the affected cans were retrieved from the line and crushed.,,,
27/09/2024,DA,CANNING,,High enamel ratings on some cans (on the average 2 out of 8),Scratch on inner coatings of tinplate before can formation,Affected blanks were placed on hold,The line was stopped and the affected cans were retrieved from the line and crushed.,,,
28/09/2024,DA,CANNING,,Weak welding detected on can cylinders,Changes in the temperature of the calibration unit,Adjustment on the calibration unit temperature,The line was stopped and the affected cans were retrieved from the line. ,,,
30/09/2024,DB,CANNING,, Low seam thickness on Head 1 (0.94) of Bottom seamer.,Openness between seam roll and chuk of second operation seam roll,The operator made adjustment on second operation seam roll and close the clearance,The line was stopped for the seamer head to be worked on and corrected,,,
30/09/2024,DB,CANNING,,Failure of external lacquer on cans,Blockage of the dispensing nozzle,The operator clean the dispensing nozzle and blow it with air gun,The line was stopped and the affected cans were retrieved from the line. ,,,
30/09/2024,DB,CANNING,,Bad seam,Jamming of cans on the seaming rolls.,The engineer made necessary adjustment on the first operation roller.,The engineer made necessary adjustment on the first operation roller.,,,
19/10/2024,DB,CANNING,,Low overlap on Head 2 (0.87) of Top seamer.,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
19/10/2024,DB,CANNING,,Low seam thickness on Head 2 (0.89) of Top seamer.,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
19/10/2024,DB,CANNING,,High enamel rate due to misalignment of lacquer powder application in cans.,Misalignment of lacquer powder application in cans ,The operator adjusted the powder arm of the machine,The line was stopped and the affected cans were retreived from the line,,,
19/10/2024,DB,CANNING,,Misalignment of lacquer powder application in cans causing high enamel rate,Misalignment of lacquer powder application in cans ,The operator adjusted the powder arm of the machine,The line was stopped and the affected cans were retreived from the line,,,
19/10/2024,DB,CANNING,,Failure of lacquer powder application in cylinders.,Fluctuation of the jorson oven temperature,The temperature was worked on and adjusted by the operator,The line was stopped and the affected cans were retrieved from the line to be recured,,,
19/10/2024,DB,CANNING,,Low overlap on Head 5 (0.90) of Bottom seamer.,Short end hook length,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
19/10/2024,DB,CANNING,,Low seam thickness on Head 2 (0.89) of Top seamer.,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
19/10/2024,DB,CANNING,,Low overlap on Head 2 (0.87) of Top seamer.,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
19/10/2024,DB,CANNING,,Failure of external lacquer on cylinders/cans,Short end hook length,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
19/10/2024,DB,PACKAGING,,Illegible coding on cans,Dirt on the printer head,the printer head was cleaned and adjusted,The line was stopped and the operator worked on it,,,
19/10/2024,NB,CANNING,,Low seam thickness on Head 1 & 2 of Top seamer,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
19/10/2024,NB,CANNING,,High enamel ratings on cans,Misalignment of lacquer powder application in cans ,The operator adjusted the powder arm of the machine,The line was stopped and the affected cans were retreived from the line,,,
19/10/2024,NB,CANNING,,Uncure lacquer,Misaligned oven conveyor wheel,The operator adjusted the oven conveyor wheel,The line was stopped and the affected cans were retreived from the line,,,
19/10/2024,NB,CANNING,,Jamming on cylinder row former,Damaged belt ,The belt was fixed,The line was stopped with issue escalated.,,,
19/10/2024,NB,PACKAGING,,Misaligned label on cans,Unbalanced machine settings,The operator made an adjustment on the setting of the machine,The line was stopped and the affected cans were retrieved from the line. ,,,
20/10/2024,DA,CANNING,,Broken magnetic conveyor belt,Worn-out conveyor belt,The belt was sewn,The line was stopped for the engineer to work on the machine,,,
20/10/2024,DA,CANNING,,Low overlap on Head 5 (0.86) of bottom seamer.,Short end hook length,The operator made adjustments on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
20/10/2024,DA,CANNING,,High seam thickness on Head 8  of Bottom seamer,Openness of the second operation roller,The operator made adjustments on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
20/10/2024,NA,CANNING,,Low seam thickness on Head 5 & 8 ,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
20/10/2024,NA,CANNING,,Low overlap on Head 1,Short end hook length,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
20/10/2024,NA,CANNING,,Uncured lacquer powder detected in cans.,Misaligned  oven conveyor belt,The operator worked on the oven conveyor belt,The line was stopped and the affected cans were retrieved from the line. ,,,
20/10/2024,NA,CANNING,,Failure of external lacquer on cylinders/cans,Malfunctioning of the dispensing nozzle,The operator cleaned and blowed the dispensing nozzle air gun,The line was stopped for the affected cans to be retrieved from the line,,,
21/10/2024,DA,CANNING,,Uncured lacquer powder,Fluctuation of the jorson oven temperature,The temperature was worked on and adjusted by the operator,The line was stopped and the affected cans were retrieved from the line to be recured,,,
21/10/2024,DA,CANNING,,Low overlap on Head 1,Short end hook length,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
21/10/2024,DA,CANNING,,"High seam thickness on Head 1,2,3 & 4",Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
21/10/2024,DA,CANNING,,Low overlap on Head 5 (0.86) of Top seamer.,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
21/10/2024,DA,CANNING,,Low seam thickness on Head 5 (0.93) of Top seamer.,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
21/10/2024,NA,CANNING,, High seam thickness on Head 2 & 3,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
21/10/2024,NA,CANNING,,"Low overlap on Head 2, 4 &5",Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
21/10/2024,NA,CANNING,,Low seam thickness on Head 5 ,Tightness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
21/10/2024,NA,CANNING,, Low overlap on Head 1 ,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
21/10/2024,NA,CANNING,,Scratches detected in the inner coating of cans causing high enamel rate,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
22/10/2024,DA,CANNING,, High seam thickness on Head 2,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
22/10/2024,DA,CANNING,,Scratches detected in the inner coating of cans causing high enamel rate,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
22/10/2024,DA,CANNING,,"Low overlap on Head 2, 4 &5",Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
22/10/2024,DA,CANNING,,Low lacquer powder application,Mispostioning of powder arm,The line was stopped and the engineer/operator was duly informed,Operator blew open the block system to enable free flow of lacquer on the Cevolani machine.,,,
22/10/2024,NA,CANNING,,"Low overlap on Head 2, 5 & 6",Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
22/10/2024,NA,CANNING,, High seam thickness on Head 4,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
22/10/2024,NA,CANNING,,Low overlap on Head 5,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
22/10/2024,NA,CANNING,, High seam thickness on Head 1,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
22/10/2024,NA,PACKAGING,,Misaligned label on cans,Unbalanced machine settings,The operator made an adjustment on the setting of the machine,The line was stopped and the affected cans were retrieved from the line. ,,,
23/10/2024,NB,CANNING,,Lacquer powder failure,Blockage of powder in the drum,The powder injector was blown off for free flow of powder,The line was stopped for the affected seamer head to be corrected,,,
